case_name,year,outbound_url,audited_url,final_url
WIMBLEDON 2002,2003,https://www.youtube.com/watch?v=ipAC-xBbVOc,https://www.youtube.com/watch?v=ipAC-xBbVOc,https://www.youtube.com/watch?v=ipAC-xBbVOc
AIDS HELP VIENNA,2002,https://www.youtube.com/watch?v=ukVCbNt9FpY&ab_channel=ElisaR.,https://www.youtube.com/watch?v=ukVCbNt9FpY&ab_channel=ElisaR.,https://www.youtube.com/watch?v=ukVCbNt9FpY&ab_channel=ElisaR.
ALWAYS HAVE THE LAST WORD,2002,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02216A_b.jpg,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02216A_b.jpg,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02216A_b.jpg
AUDI A4 AVANT,2002,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02112N.jpg,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02112N.jpg,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/2002/media/02112N.jpg
FOREVER,2002,https://www.youtube.com/watch?v=b0KFxIi_jME,https://www.youtube.com/watch?v=b0KFxIi_jME,https://www.youtube.com/watch?v=b0KFxIi_jME
ONE IN FOUR,2002,https://www.adforum.com/creative-work/ad/player/20749/one-in-four/womankind,https://www.adforum.com/creative-work/ad/player/20749/one-in-four/womankind,https://www.adforum.com/creative-work/ad/player/20749/one-in-four/womankind
ADIDAS BEAT RUGBY I,2001,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/osi/2001/media/010018N_b.jpg,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/osi/2001/media/010018N_b.jpg,https://d26eb5y2jukpbz.cloudfront.net/ebs/archive/osi/2001/media/010018N_b.jpg
KISS ON THE BUS,2001,https://www.adforum.com/creative-work/ad/player/14665/bus-opened-doors/smint,https://www.adforum.com/creative-work/ad/player/14665/bus-opened-doors/smint,https://www.adforum.com/creative-work/ad/player/14665/bus-opened-doors/smint
JUKKA BROS / XMAS STORY,2000,https://www.youtube.com/watch?v=qp7LaVl6ons&ab_channel=LakshmipathyBhat,https://www.youtube.com/watch?v=qp7LaVl6ons&ab_channel=LakshmipathyBhat,https://www.youtube.com/watch?v=qp7LaVl6ons&ab_channel=LakshmipathyBhat
LYREBIRD,2000,https://www.youtube.com/watch?v=0uDk-EYGY3I&ab_channel=MindlessShelfIndulgence,https://www.youtube.com/watch?v=0uDk-EYGY3I&ab_channel=MindlessShelfIndulgence,https://www.youtube.com/watch?v=0uDk-EYGY3I&ab_channel=MindlessShelfIndulgence
WINDOW,2000,https://www.youtube.com/watch?v=sZoMxFiPAyA&ab_channel=TheHallofAdvertising,https://www.youtube.com/watch?v=sZoMxFiPAyA&ab_channel=TheHallofAdvertising,https://www.youtube.com/watch?v=sZoMxFiPAyA&ab_channel=TheHallofAdvertising
THE CHILD IN THE CROWD,1999,https://www.youtube.com/watch?v=cbTAsUSpcQI,https://www.youtube.com/watch?v=cbTAsUSpcQI,https://www.youtube.com/watch?v=cbTAsUSpcQI
INTERNET,1997,https://www.youtube.com/watch?v=zFdwYDmiL4M&ab_channel=rocketraccoon20,https://www.youtube.com/watch?v=zFdwYDmiL4M&ab_channel=rocketraccoon20,https://www.youtube.com/watch?v=zFdwYDmiL4M&ab_channel=rocketraccoon20
ELEPHANT,1996,https://www.youtube.com/watch?v=qVZK1OWtqwY&ab_channel=DoniAmaro,https://www.youtube.com/watch?v=qVZK1OWtqwY&ab_channel=DoniAmaro,https://www.youtube.com/watch?v=qVZK1OWtqwY&ab_channel=DoniAmaro
IDOLS,1996,https://www.youtube.com/watch?v=877cHKgLRzA&ab_channel=rocketraccoon19,https://www.youtube.com/watch?v=877cHKgLRzA&ab_channel=rocketraccoon19,https://www.youtube.com/watch?v=877cHKgLRzA&ab_channel=rocketraccoon19
GECKO,1996,https://www.youtube.com/watch?v=Gu7KEFr-6Hc&ab_channel=TheLouBuford,https://www.youtube.com/watch?v=Gu7KEFr-6Hc&ab_channel=TheLouBuford,https://www.youtube.com/watch?v=Gu7KEFr-6Hc&ab_channel=TheLouBuford
NUTRITION,1990,https://www.youtube.com/watch?v=jYo7NR1LJYE&ab_channel=SunRice,https://www.youtube.com/watch?v=jYo7NR1LJYE&ab_channel=SunRice,https://www.youtube.com/watch?v=jYo7NR1LJYE&ab_channel=SunRice
LA COPIEUSE,1978,https://www.adforum.com/creative-work/ad/player/33194/the-graduate/waterman,https://www.adforum.com/creative-work/ad/player/33194/the-graduate/waterman,https://www.adforum.com/creative-work/ad/player/33194/the-graduate/waterman
