id,year,brand,title,agency,outboundUrl,thumbnailUrl,youtubeSearch
"2018-peace-briefs-saturday-morning","2018","SATURDAY MORNING","PEACE BRIEFS","72ANDSUNNY LOS ANGELES","http://cargocollective.com/keithcartwright/SATURDAY-MORNING-PEACE-BRIEFS","https://media.cargocollective.com/1/0/13178/headerimg/Screen-Shot-2017-08-29-at-6.36.29-PM.png","https://www.youtube.com/results?search_query=PEACE%20BRIEFS%20SATURDAY%20MORNING%202018%20ad%20case%20study"
"2008-not-below-graveyards-lua-viet-tours","2008","LUA VIET TOURS","NOT BELOW, GRAVEYARDS","SAATCHI & SAATCHI HO CHI MINH CITY","http://www.adeevee.com/2008/04/lua-viet-tours-cu-chi-tunnels-museum-not-below-graveyards-print/","https://myvietnamtours.com/wp/wp-content/uploads/2023/10/Lua-Viet-Tours-attend-ITB-Asia-2023-thumbnail-716x750.jpg","https://www.youtube.com/results?search_query=NOT%20BELOW%2C%20GRAVEYARDS%20LUA%20VIET%20TOURS%202008%20ad%20case%20study"
