id,case_name,brand,agency,year,reason,yt_score,ltwm_page_score,outbound_url,source_url,youtube_title,youtube_author,audit_class,audit_note
2014-no-interruptions-teleclub,NO INTERRUPTIONS,TELECLUB,Y&R SWITZERLAND,2014,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=AyZGTJouzII,https://lovetheworkmore.com/2014-2/,How Fevicol’s Genius Marketing Strategy Earned It $1 Billion? | Marketing Case Study | MyCaptain,MyCaptain,ok,
2013-coinoffers-mcdonald-s,COINOFFERS,MCDONALD’S,DDB COPENHAGEN,2013,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=U8_DrG0RFaw,https://lovetheworkmore.com/2013-2/,McDonalds CoinHunters,DDBDanmark,ok,
2013-tree-concert-friends-of-the-earth,TREE CONCERT,FRIENDS OF THE EARTH,KETCHUM PLEON BERLIN,2013,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=t6fRL_RPdi4,https://lovetheworkmore.com/2013-2/,Nature Protection: TreeConcert,adsoftheworldvideos,ok,
2012-jack-queen-king-ray-of-hope,"JACK, QUEEN, KING",RAY OF HOPE,LEO BURNETT SINGAPORE,2012,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=nsqrSaK7HCU,https://lovetheworkmore.com/2012-2/,NEVER FLYING SPIRIT AIRLINES AGAIN ‼️😤 #shorts,Jonquall,ok,
2012-ok-go-chevrolet-sonic,OK GO,CHEVROLET SONIC,GOODBY SILVERSTEIN AND PARTNERS SAN FRANSISCO,2012,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=MejbOFk7H6c&amp;ab_channel=OKGo,https://lovetheworkmore.com/2012-2/,OK Go - Needing/Getting - Official Video,OK Go,ok,
2011-chip-resistant-dinnerware-corelle-dinnerware,CHIP-RESISTANT DINNERWARE,CORELLE DINNERWARE,GREY CHINA,2011,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=PHSoG_rlAHk&amp;ab_channel=JodyXiong,https://lovetheworkmore.com/2011-2/,Vending Machine,Jody Xiong,ok,
2010-akatu-exclusive-beach-akatu,AKATU EXCLUSIVE BEACH,AKATU,TBWA SÃO PAULO,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=AyZGTJouzII,https://lovetheworkmore.com/2010-2/,How Fevicol’s Genius Marketing Strategy Earned It $1 Billion? | Marketing Case Study | MyCaptain,MyCaptain,ok,
2010-arv-plectrums-rock4aids,ARV PLECTRUMS,ROCK4AIDS,JOE PUBLIC SHIFT JOHANNESBURG,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=B7SEcMvXndk,https://lovetheworkmore.com/2010-2/,Guitar Pick/Plectrum Cutter/Maker,Etherhunter,ok,
2010-bovap-souza-barros,BOVAP,SOUZA BARROS,LIVEAD SÃO PAULO,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=AyZGTJouzII,https://lovetheworkmore.com/2010-2/,How Fevicol’s Genius Marketing Strategy Earned It $1 Billion? | Marketing Case Study | MyCaptain,MyCaptain,ok,
2010-casting-playboy-magazine,CASTING,PLAYBOY MAGAZINE,GREY BUENOS AIRES,2010,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=xTe9YVyRvhU,https://lovetheworkmore.com/2010-2/,www.castingplayboy.com - English Version,mgrecio1,ok,
2010-t-mo-t-finissimas,T-MO-T,FINISSIMAS,MCCANN MADRID,2010,low_title_match_vs_youtube,0,0.2,https://www.youtube.com/watch?v=ACXakxxV0Ys&amp;ab_channel=SbenKaike,https://lovetheworkmore.com/2010-2/,Campofrío - Tmoty  / Revenge is a dish best served cold,Sben Kaike,ok,
2010-tabletrick-bayerische-motoren-werke-aktiengesellschaft,TABLETRICK,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT,SERVICEPLAN MUNCHEN,2010,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=-cM9S2AzU28,https://lovetheworkmore.com/2010-2/,BMW S1000 RR. Dinner for RR.,BMW,ok,
2009-balloon-lagardere,BALLOON,LAGARDERE,DDB PARIS,2009,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=Y91-qkCYzYU&amp;ab_channel=WandaProductions,https://lovetheworkmore.com/2009-2/,TIJI - Yoann Lemoine,Wanda Productions,ok,
2009-lg-five-h-y-group,LG FIVE,H.Y.GROUP,FCB TEL AVIV,2009,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=FUbgyx8J8OU&amp;t=11s,https://lovetheworkmore.com/2009-2/,INSIDE THE MACHINE PROJECT,shysor,ok,
2009-quick-kasikorn-bank,QUICK,KASIKORN BANK,OGILVY BANGKOK,2009,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=xy_nXxgpt1Y&amp;ab_channel=submitthaiads,https://lovetheworkmore.com/2009-2/,K  SME CREDIT,submitthaiads,ok,
2009-the-coral-cemetery-the-green-party,THE CORAL CEMETERY,THE GREEN PARTY,FCB TEL AVIV,2009,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=gZ4k3jYipr4&amp;ab_channel=shysor,https://lovetheworkmore.com/2009-2/,RED SEA PRSENTATION.wmv,shysor,ok,
2009-the-v-frigor-ice-cream,THE V,FRIGOR ICE CREAM,JWT BUENOS AIRES,2009,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=vvtFpSnCNfI&amp;ab_channel=lifeguardmigration,https://lovetheworkmore.com/2009-2/,NESTLE LIFEGUARD MIGRATION 01 SAN FRANCISCO EEUU,lifeguardmigration,ok,
2009-wifi-advertising-germanwings,WIFI ADVERTISING,GERMANWINGS,LUKAS LINDEMANN ROSINSKI HAMBURG,2009,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=1OovHJkTUug&amp;ab_channel=JoMarieFarwick,https://lovetheworkmore.com/2009-2/,SIXT WI-FI GUERILLA IDEA.,Jo Marie Farwick,ok,
2008-bonjovis-filmsuez,BONJOVIS,FILMSUEZ,LA COMUNIDAD BUENOS AIRES,2008,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=MMurfPMdDIo&amp;ab_channel=ekkanya,https://lovetheworkmore.com/2008-2/,Bon Jovis Film Suez,ekkanya,ok,
2008-brand-new-vw-golf-united,BRAND NEW,VW GOLF UNITED,AGENCE .V. SAINT-OUEN,2008,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=dHh_AGLrCB8,https://lovetheworkmore.com/2008-2/,"Pub Volkswagen / POLO / ""the phone call""",Nicolas Martinie,ok,
2008-measurements-henri-bulgarian-herringbone,"MEASUREMENTS, HENRI, BULGARIAN",HERRINGBONE,M&C SAATCHI SYDNEY,2008,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=AyZGTJouzII,https://lovetheworkmore.com/2008-2/,How Fevicol’s Genius Marketing Strategy Earned It $1 Billion? | Marketing Case Study | MyCaptain,MyCaptain,ok,
2004-dance-apple,DANCE,APPLE,TBWA\CHIAT\DAY LOS ANGELES,2004,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=4CPab8U5zTU&amp;ab_channel=RevolutionKing2,https://lovetheworkmore.com/2004-2/,Jet iPod commercial,RevolutionKing2,ok,
2004-favela-akatu,FAVELA,AKATU,LEO BURNETT SÃO PAULO,2004,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=ExCYNL12h4Q,https://lovetheworkmore.com/2004-2/,Surf Excel Marketing Strategies | Simplebooks Case Study Pro,Simplebooks,ok,
2003-burnt-mailing-interpolis,BURNT MAILING,INTERPOLIS,PROXIMITY AMSTELVEEN,2003,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=dxlnsd7sIDg,https://lovetheworkmore.com/2003-2/,Supporting the Consumer Brands You Trust Every Day,Burns & McDonnell,ok,
2002-turf-espn,TURF,ESPN,WIEDEN+KENNEDY NEW YORK,2002,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=uvAArB-IQFg&amp;ab_channel=ThisIsSportcenter,https://lovetheworkmore.com/2002-2/,This Is Sportscenter - Carpet To Natural Surface (Grass),This Is Sportcenter,ok,
2001-neighbourhood-cops-sbc-communications,"NEIGHBOURHOOD, COPS",SBC COMMUNICATIONS,"GOODBY, SILVERSTEIN & PARTNERS SAN FRANCISCO",2001,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=u1fCgca9ZNk&amp;ab_channel=AlexandreEstanislauSilva,https://lovetheworkmore.com/2001-2/,LOG OFF,Alexandre (Zeca),ok,
2001-prison-pedestrian-council,PRISON,PEDESTRIAN COUNCIL,SAATCHI & SAATCHI SYDNEY,2001,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=Md7h3giMwy0&amp;ab_channel=LJR,https://lovetheworkmore.com/2001-2/,Road Safety - A Killer is a Killer,LJ R,ok,
2000-speeding-ticket-alta-vista,SPEEDING TICKET,ALTA VISTA,WIEDEN+KENNEDY PORTLAND,2000,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=fuRs0VfN94Q&amp;ab_channel=ArnaudFischer,https://lovetheworkmore.com/2000-2/,Altavista Testicular Cancer 2,Arnaud Fischer,ok,
1998-scaredy-cat-selleys-chemical,SCAREDY CAT,SELLEYS CHEMICAL,THE CAMPAIGN PALACE SYDNEY,1998,low_title_match_vs_youtube,0,0.8,https://www.youtube.com/watch?v=4Ce4hME6gDw&amp;ab_channel=PabloEskybrah,https://lovetheworkmore.com/1954-1999/,Talon Screaming Rat Ad,Pablo Eskybrah,ok,
1998-dino-time-kraft,DINO TIME,KRAFT,J. WALTER THOMPSON LONDON,1998,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=GqUGAXmklDQ&amp;ab_channel=ChristyStewart-Smith,https://lovetheworkmore.com/1954-1999/,Dinotime,Christy Stewart-Smith,ok,
1998-the-last-laugh-agfa-cameras,THE LAST LAUGH,AGFA CAMERAS,IN-SHOP MARKETING,1998,low_title_match_vs_youtube,0,0.4,https://www.youtube.com/watch?v=Jlx7khP_VEM&amp;ab_channel=RainerSchinzel,https://lovetheworkmore.com/1954-1999/,Underwater,Rainer Schinzel,ok,
1998-alien-hewlett-packard-photocopier,ALIEN,HEWLETT PACKARD PHOTOCOPIER,SAATCHI & SAATCHI,1998,low_title_match_vs_youtube,0,0.2,https://www.youtube.com/watch?v=s5qsaEWh32Q&amp;ab_channel=DavidThompson,https://lovetheworkmore.com/1954-1999/,HP Aliens,David Thompson,ok,
1997-only-for-real-players-toto-select-lottery,ONLY FOR REAL PLAYERS,TOTO-SELECT LOTTERY,RESULT DDB,1997,low_title_match_vs_youtube,0,1,https://www.youtube.com/watch?v=Kuhos_qIrgA&amp;list=PL8qnTFh9BKW0pswWWA85BPZg0bzkTEEDm&amp;index=77&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,[Commercial] DeLotto (Mashup Football),videos from vincent,ok,
1997-daughter-s-hand-budweiser,DAUGHTER'S HAND,BUDWEISER,GOODBY SILVERSTEIN & PARTNERS,1997,low_title_match_vs_youtube,0,0.6,https://www.youtube.com/watch?v=f8oPz5rxszI&amp;list=PL8qnTFh9BKW0pswWWA85BPZg0bzkTEEDm&amp;index=9&amp;ab_channel=videosfromvincent,https://lovetheworkmore.com/1954-1999/,[Ad] Beer... or icicle mackerel? [Anheuser-Busch],videos from vincent,ok,
