id,year,brand,case_name,youtube_url
super-bowl-2016-ispot-aoiq,2016,CBS,Super Bowl 2016 Halftime Show,https://www.youtube.com/watch?v=FCujBuC1Y60
super-bowl-2016-ispot-aois,2016,Pizza Hut,All-In-One,https://www.youtube.com/watch?v=ouTeio9AzGQ
super-bowl-2016-ispot-aoiu,2016,CBS,The Grammys Super Bowl 2016,https://www.youtube.com/watch?v=TeF3xGh-NqA
super-bowl-2016-ispot-aoiv,2016,Mountain Dew,Puppymonkeybaby,https://www.youtube.com/watch?v=o2whcRareHY
super-bowl-2016-ispot-aoiw,2016,Genesis,First Date,https://www.youtube.com/watch?v=BcmthxKEohQ
super-bowl-2016-ispot-aoix,2016,SoFi,Great Loans for Great People,https://www.youtube.com/watch?v=duLtPy-gAr4
super-bowl-2016-ispot-aom_,2016,CBS,CBS Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=ZgdGVFsHzZ8
super-bowl-2016-ispot-aom0,2016,Toyota,Pre-Release: Heck on Wheels,https://www.youtube.com/watch?v=s4yOD6w_0ZU
super-bowl-2016-ispot-aom2,2016,CBS,The Good Wife Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA
super-bowl-2016-ispot-aom4,2016,Doritos,Finalist: Dogs,https://www.youtube.com/watch?v=9WtiMD66dCc
super-bowl-2016-ispot-aom7,2016,Advil,Distant Memory,https://www.youtube.com/watch?v=uJKsaXXExwA
super-bowl-2016-ispot-aom8,2016,CBS,Colbert,https://www.youtube.com/watch?v=su2lZ5dCDjo
super-bowl-2016-ispot-aom9,2016,Pokemon,Pokemon 20,https://www.youtube.com/watch?v=hlDKocEiDag
super-bowl-2016-ispot-aoma,2016,CBS,Hunt Down Monsters,https://www.youtube.com/watch?v=ERVeNQF4ziU
super-bowl-2016-ispot-aomb,2016,CBS,The Late Late Show Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=zq8UqP88Azs
super-bowl-2016-ispot-aomc,2016,CBS,The Late Show | The Late Late Show Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=zq8UqP88Azs
super-bowl-2016-ispot-aomd,2016,Dollar Shave Club,Zeke,https://www.youtube.com/watch?v=RERmWACKjnE
super-bowl-2016-ispot-aome,2016,Subaru,Dog Tested: Puppy,https://www.youtube.com/watch?v=q7Adl0AtAn0
super-bowl-2016-ispot-aomf,2016,Pepsi,Joy of Pepsi,https://www.youtube.com/watch?v=MhNfvkQVl2s
super-bowl-2016-ispot-aomg,2016,Coca-Cola,Hulk vs. Ant-Man,https://www.youtube.com/watch?v=4yc_aTrm2cQ
super-bowl-2016-ispot-aomh,2016,Amazon Echo,Baldwin Bowl Party,https://www.youtube.com/watch?v=yw-iGac1Xxk
super-bowl-2016-ispot-aomi,2016,CBS,The Grammys Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA
super-bowl-2016-ispot-aomj,2016,The NO MORE Project,Text Talk,https://www.youtube.com/watch?v=TbPu-pZWl5Y
super-bowl-2016-ispot-aomk,2016,Squarespace,Real Talk With Key and Peele,https://www.youtube.com/watch?v=iZX1o23rz4U
super-bowl-2016-ispot-aoml,2016,Shock Top,Unfiltered Talk,https://www.youtube.com/watch?v=JsMY66VLfkg
super-bowl-2016-ispot-aomm,2016,Parkwood Entertainment,Formation World Tour,https://www.youtube.com/watch?v=Of5IEnv_yH4
super-bowl-2016-ispot-aomn,2016,CBS,The Master's Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=ZgdGVFsHzZ8
super-bowl-2016-ispot-aomo,2016,Hyundai,Ryanville,https://www.youtube.com/watch?v=u-2G_gkLDLw
super-bowl-2016-ispot-aomq,2016,T-Mobile,Drop the Balls,https://www.youtube.com/watch?v=SWGe66aaNMU
super-bowl-2016-ispot-aomr,2016,Toyota,The Longest Chase,https://www.youtube.com/watch?v=vDChV1Nx3P4
super-bowl-2016-ispot-aoms,2016,WeatherTech,Resources,https://www.youtube.com/watch?v=K9k_---XMOo
super-bowl-2016-ispot-aomt,2016,AstraZeneca,Envy,https://www.youtube.com/watch?v=S6GW6dWpNp8
super-bowl-2016-ispot-aomu,2016,Jack in the Box,Declaration of Delicious,https://www.youtube.com/watch?v=LLAs4aywaug
super-bowl-2016-ispot-aomw,2016,CBS,The Amazing Race Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA
super-bowl-2016-ispot-aomx,2016,CBS,Limitless Super Bowl 2016 TV Promo,https://www.youtube.com/watch?v=TeF3xGh-NqA
super-bowl-2016-ispot-aomy,2016,Buick,Big Day,https://www.youtube.com/watch?v=2omdLD13Mfo
super-bowl-2016-ispot-aomz,2016,Skittles,The Portrait,https://www.youtube.com/watch?v=WObXRHpMEgg
super-bowl-2016-ispot-aoxg,2016,Doritos,Teaser: Without You,https://www.youtube.com/watch?v=8UYN9LpHe34
super-bowl-2016-ispot-athq,2016,SoFi,Teaser: This Is the Beginning of a Bankless World,https://www.youtube.com/watch?v=9gWPxIyA67c
super-bowl-2016-ispot-athr,2016,Budweiser,"Teaser: It's the Super Bowl, Act Like It: Party",https://www.youtube.com/watch?v=qoWHVf8ybfo
super-bowl-2016-ispot-atq8,2016,Budweiser,Teaser: Act Like It: Clydesdale Beer Run,https://www.youtube.com/watch?v=AOVLlZWR0mQ
super-bowl-2016-ispot-iecg,2016,Colgate,Every Drop Counts,https://www.youtube.com/watch?v=_m7Gp2grkIo
