id,year,brand,title,agency,current_url,query,best_adsspot_url,best_score,candidate_2,candidate_3,candidate_count
2011-kurt-madonna-eminem-daft-monkey-week,2011,MONKEY WEEK,"KURT, MADONNA, EMINEM, DAFT",LEO BURNETT MADRID,https://www.adsoftheworld.com/campaign/monkey-week-leo-burnett-06-2011,"KURT, MADONNA, EMINEM, DAFT MONKEY WEEK 2011 site:adsspot.me/media",,,,,0
2011-models-sony-ericsson,2011,SONY ERICSSON,MODELS,DARE LONDON,https://www.youtube.com/watch?v=p2AP3VMAkpA&ab_channel=sonyericsson,MODELS SONY ERICSSON 2011 site:adsspot.me/media,,,,,0
2011-paper-pvc-plastic-plastic-bag-roll-of-aluminium-volkswagen,2011,VOLKSWAGEN,"PAPER, PVC PLASTIC, PLASTIC BAG, ROLL OF ALUMINIUM",ALMAPBBDO SÃO PAULO,https://www.adsoftheworld.com/campaign/volkswagen-bbdo-06-2011_0,"PAPER, PVC PLASTIC, PLASTIC BAG, ROLL OF ALUMINIUM VOLKSWAGEN 2011 site:adsspot.me/media",,,,,0
2011-photogenic-fibertel,2011,FIBERTEL,PHOTOGENIC,DON BUENOS AIRES,https://clios.com/awards/winner/film/photogenic-7276,PHOTOGENIC FIBERTEL 2011 site:adsspot.me/media,,,,,0
2011-prisoner-skinny-bear-gentleman-woman-gillette,2011,GILLETTE,"PRISONER, SKINNY, BEAR, GENTLEMAN, WOMAN",BBDO NEW YORK,https://www.adsoftheworld.com/campaign/gillette-bbdo-06-2011_0,"PRISONER, SKINNY, BEAR, GENTLEMAN, WOMAN GILLETTE 2011 site:adsspot.me/media",,,,,0
2011-puppets-magic-origami-volkswagen,2011,VOLKSWAGEN,"PUPPETS, MAGIC, ORIGAMI",ALMAPBBDO SÃO PAULO,https://www.adsoftheworld.com/campaign/volkswagen-bbdo-06-2011,"PUPPETS, MAGIC, ORIGAMI VOLKSWAGEN 2011 site:adsspot.me/media",,,,,0
2011-rainy-days-walkers,2011,WALKERS,RAINY DAYS,OMD LONDON,https://www.youtube.com/watch?v=bUkTV0Z4HMk&ab_channel=OMDUKLondon,RAINY DAYS WALKERS 2011 site:adsspot.me/media,,,,,0
2011-sausageflan-wasabimuffin-fishchocolate-ayudin-washing-up-liquid,2011,AYUDIN WASHING UP LIQUID,"SAUSAGEFLAN, WASABIMUFFIN, FISHCHOCOLATE",GREY BUENOS AIRES,https://www.adsoftheworld.com/campaign/ayudin-grey-05-2011,"SAUSAGEFLAN, WASABIMUFFIN, FISHCHOCOLATE AYUDIN WASHING UP LIQUID 2011 site:adsspot.me/media",,,,,0
2011-shave-sutra-gillette,2011,GILLETTE,SHAVE SUTRA,RK SWAMY BBDO MUMBAI,https://www.youtube.com/watch?v=ahFoFSnHadk&ab_channel=Kulzy,SHAVE SUTRA GILLETTE 2011 site:adsspot.me/media,,,,,0
2011-slide-kite-swing-active-life,2011,ACTIVE LIFE,"SLIDE, KITE, SWING",LATINWORKS AUSTIN,https://www.adsoftheworld.com/campaign/active-life-latinworks-06-2011,"SLIDE, KITE, SWING ACTIVE LIFE 2011 site:adsspot.me/media",,,,,0
