id,year,brand,title,outboundUrl,thumbnailUrl
"2018-i-m-still-her-johan-alzheimer","2018","ALZHEIMER","I’M STILL HER: JOHAN","https://ddbbrussels.prezly.com/dementia-will-never-take-away-our-beautiful-memories","https://img.freepik.com/premium-photo/marketing-campaign-case-study_1029473-216235.jpg"
"2012-only-free-is-cheaper-tele2","2012","TELE2","ONLY FREE IS CHEAPER","https://forsman.co/work/tele2/only-free-is-cheaper","https://img.freepik.com/premium-photo/marketing-campaign-case-study_1029473-216225.jpg"
